"Vulnerabilities per day","Count of Vulnerabilities"
"2017-08-01",28
"2017-08-02",53
"2017-08-03",14
"2017-08-04",36
"2017-08-05",29
"2017-08-06",18
"2017-08-07",78
"2017-08-08",298
"2017-08-09",51
"2017-08-10",15
"2017-08-11",9
"2017-08-12",0
"2017-08-13",0
"2017-08-14",19
"2017-08-15",6
"2017-08-16",9
"2017-08-17",38
"2017-08-18",80
"2017-08-19",5
"2017-08-20",24
"2017-08-21",16
"2017-08-22",21
"2017-08-23",28
"2017-08-24",21
"2017-08-25",18
"2017-08-26",1
"2017-08-27",4
"2017-08-28",55
"2017-08-29",61
"2017-08-30",42
"2017-08-31",30
